	

		"npc_dota_hero_ember_spirit"			"Emiya"
		"DOTA_Tooltip_ability_archer_rho_aias_Lore"				"The Seven Rings from Age of Gods boast conceptual superiority over any thrown weapon."
		"DOTA_Tooltip_ability_archer_rho_aias_Note0"				"The shield takes magic resistance into account when taking magic damage."
		"DOTA_Tooltip_ability_archer_rho_aias_shield_amount"		"SHIELD AMOUNT:"
		"DOTA_Tooltip_ability_archer_rho_aias_duration"			"SHIELD DURATION:"

		"DOTA_Tooltip_Ability_archer_hrunting"				"<font color='#FFB266'>Hrunting</font>"
		"DOTA_Tooltip_ability_archer_hrunting_Description"	"<font color='#58ACFA'>CHANNEL</font>: Emiya takes aim on a target enemy. At the end of channeling, he fires a powerful arrow that cannot be dodged. When Hrunting hits its target, it'd <font color='#FF3399'>stun</font> target while ricochet onto nearby enemy up to twice with reduced effectiveness on each ricochet. \n Damage is based on a portion of Emiya's current mana plus level of <font color='#58ACFA'>Broken Phantasm</font>.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Eagle Eye</font>"
		"DOTA_Tooltip_ability_archer_hrunting_Lore" 			"The ravenous bite of Hound of the Red Plains brings death from afar."
		"DOTA_Tooltip_Ability_archer_hrunting_Note0"			"Cannot be reset."
		"DOTA_Tooltip_Ability_archer_hrunting_cast_delay"	"CHANNEL TIME:"
		"DOTA_Tooltip_ability_archer_hrunting_cast_range"	"RANGE:"
		"DOTA_Tooltip_Ability_archer_hrunting_damage"		"BASE DAMAGE:"
		"DOTA_Tooltip_Ability_archer_hrunting_mana_used"		"%CURRENT MANA USED:"
		"DOTA_Tooltip_Ability_archer_hrunting_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_archer_hrunting_radius"		"SEARCHING RADIUS:"
		"DOTA_Tooltip_ability_archer_hrunting_max_bounce"	"MAX BOUNCES:"
		"DOTA_Tooltip_ability_archer_hrunting_bounce_damage"	"%BOUNCE DAMAGE:"

		"DOTA_Tooltip_Ability_archer_hrunting_upgrade"				"<font color='#9FFFCC'>Hrunting</font>"
		"DOTA_Tooltip_ability_archer_hrunting_upgrade_Description"	"<font color='#58ACFA'>CHANNEL</font>: Emiya takes aim on a target enemy. At the end of channeling, he fires a powerful arrow that cannot be dodged. When Hrunting hits its target, it'd <font color='#FF3399'>stun</font> target while ricochet onto nearby enemy up to twice with reduced effectiveness on each ricochet. \n Damage is based on a portion of Emiya's current mana plus level of <font color='#58ACFA'>Broken Phantasm</font>."
		"DOTA_Tooltip_ability_archer_hrunting_upgrade_Lore" 			"The ravenous bite of Hound of the Red Plains brings death from afar."
		"DOTA_Tooltip_Ability_archer_hrunting_upgrade_Note0"			"Cannot be reset."
		"DOTA_Tooltip_Ability_archer_hrunting_upgrade_cast_delay"	"CHANNEL TIME:"
		"DOTA_Tooltip_ability_archer_hrunting_upgrade_cast_range"	"RANGE:"
		"DOTA_Tooltip_Ability_archer_hrunting_upgrade_damage"		"BASE DAMAGE:"
		"DOTA_Tooltip_Ability_archer_hrunting_upgrade_mana_used"		"%CURRENT MANA USED:"
		"DOTA_Tooltip_Ability_archer_hrunting_upgrade_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_archer_hrunting_upgrade_radius"		"SEARCHING RADIUS:"
		"DOTA_Tooltip_ability_archer_hrunting_upgrade_max_bounce"	"MAX BOUNCES:"
		"DOTA_Tooltip_ability_archer_hrunting_upgrade_bounce_damage"	"%BOUNCE DAMAGE:"	

		////////////////// Combo /////////////////////////

		"DOTA_Tooltip_Ability_archer_arrow_rain"					"<font color='#FF04EF'>Combo: Arrow Rain</font>"
		"DOTA_Tooltip_ability_archer_arrow_rain_Description"		"<font color='#FF04EF'>Combo Requirement : 25 all stats</font>\n<font color='#FF04EF'>Combo Sequence : E inside Unlimited Blade Works within 4 seconds</font>\nEmiya jumps to middle of Unlimited Blade Works, being <font color='#FFFF28'>untargetable</font> and <font color='#FFFF28'>invulnerable</font>. Once positioned, Emiya starts showering enemies beneath with flurry of arrows, followed by consecutive <font color='#58ACFA'>Broken Phantasm</font> shots on random targets."
		"DOTA_Tooltip_ability_archer_arrow_rain_Lore"	""
		"DOTA_Tooltip_Ability_archer_arrow_rain_Note0"			"Broken Phantasm damage follows current level of Broken Phantasm."
		"DOTA_Tooltip_Ability_archer_arrow_rain_Note1"			"Cannot be reset."
		"DOTA_Tooltip_ability_archer_arrow_rain_arrow_amount"	"ARROW AMOUNT:"
		"DOTA_Tooltip_ability_archer_arrow_rain_arrow_damage"	"ARROW DAMAGE:"
		"DOTA_Tooltip_ability_archer_arrow_rain_bp_shot_amount"	"BROKEN PHANTASM AMOUNT:"

		/////////////////////// Buff //////////////////////

		"DOTA_Tooltip_modifier_rho_aias"                                           		"Rho Aias"
		"DOTA_Tooltip_modifier_rho_aias_Description"                               		"Shielded and preventing damage"

		"DOTA_Tooltip_modifier_overedge_anim"                                             "Overedge Anim"
		"DOTA_Tooltip_modifier_overedge_anim_Description"                                 ""

		"DOTA_Tooltip_modifier_ubw_chant"							"UBW - Chant"
		"DOTA_Tooltip_modifier_ubw_chant_Description"				"+%dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% MS."

		"DOTA_Tooltip_modifier_ubw_chronosphere"					"Unlimited Blade Works: Chronosphere"
		"DOTA_Tooltip_modifier_ubw_chronosphere_Description"		"So as i pray, Unlimited Blade Works."

		"DOTA_Tooltip_modifier_ubw_chronosphere_self"				"Unlimited Blade Works: Chronosphere"
		"DOTA_Tooltip_modifier_ubw_chronosphere_self_Description"	"So as i pray, Unlimited Blade Works."

		"DOTA_Tooltip_modifier_unlimited_bladeworks"				"Unlimited Blade Works"
		"DOTA_Tooltip_modifier_unlimited_bladeworks_Description"	"Just because you're correct doesn't mean you're right."

		"DOTA_Tooltip_modifier_shroud_of_martin"				"Shroud of Martin"
		"DOTA_Tooltip_modifier_shroud_of_martin_Description"	"Increased %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor and %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS% magic resistance."

		"DOTA_Tooltip_modifier_kanshou_byakuya"					"Kanshou Byakuya"
		"DOTA_Tooltip_modifier_kanshou_byakuya_Description"		"Increased %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed per stacks"

		/////////////////// Debuff /////////////////////////////

		"DOTA_Tooltip_modifier_sword_barrage_confine"				"Confined"
		"DOTA_Tooltip_modifier_sword_barrage_confine_Description"	"Reduced %dMODIFIER_PROPERTY_TOOLTIP%%% armor"

		//////////////////// Cooldown ///////////////////////////

		"DOTA_Tooltip_modifier_hrunting_cooldown"                   "Hrunting Cooldown"
		"DOTA_Tooltip_modifier_hrunting_cooldown_Description"       ""

		"DOTA_Tooltip_modifier_arrow_rain_cooldown"                 "Arrow Rain Cooldown"
		"DOTA_Tooltip_modifier_arrow_rain_cooldown_Description"     "Arrow Rain is unavailable"	
		
		///////////////////// Special Attribute ///////////////////////	

		"DOTA_Tooltip_Ability_archer_attribute_eagle_eye"					"<font color='#9FFFCC'>Attribute: Eagle Eye</font>"
		"DOTA_Tooltip_ability_archer_attribute_eagle_eye_Description"		"<font color='#FFFFFF'>Clairvoyance</font> can detect <font color='#FFFF28'>invisibility</font> units, gain additional vision radius and reduce its cooldown. \n <font color='#58ACFA'>Broken Phantasm</font> and <font color='#FFB266'>Hrunting</font> gains bonus cast range."
		"DOTA_Tooltip_Ability_archer_attribute_eagle_eye_cv_radius_bonus"	"CLAIRVOYANCE BONUS RADIUS:"
		"DOTA_Tooltip_Ability_archer_attribute_eagle_eye_cv_cd_reduce"		"CLAIRVOYANCE COOLDOWN REDUCTION:"
		"DOTA_Tooltip_Ability_archer_attribute_eagle_eye_bp_range"			"BROKEN PHANTASM RANGE BONUS:"
		"DOTA_Tooltip_Ability_archer_attribute_eagle_eye_hrunt_range"		"HRUNTING RANGE BONUS:"

		"DOTA_Tooltip_Ability_archer_attribute_hrunting"				"<font color='#9FFFCC'>Attribute: Hrunting</font>"
		"DOTA_Tooltip_ability_archer_attribute_hrunting_Description"	"Enables <font color='#FFB266'>Hrunting</font> while <font color='#FFFFFF'>Clairvoyance</font> is being used.\n<font color='#FFB266'>Hrunting : </font><font color='#58ACFA'>CHANNEL</font>: Emiya takes aim on a target enemy. At the end of channeling, he fires a powerful arrow that cannot be dodged. When Hrunting hits its target, it'd <font color='#FF3399'>stun</font> target while ricochet onto nearby enemy up to twice with reduced effectiveness on each ricochet. \n Damage is based on a portion of Emiya's current mana plus level of <font color='#58ACFA'>Broken Phantasm</font>."
		"DOTA_Tooltip_Ability_archer_attribute_hrunting_Lore"		"Not only does he use other people’s Noble Phantasms as he pleases, his method of using them is also clever.\n- Beowulf"
		"DOTA_Tooltip_Ability_archer_attribute_hrunting_cast_delay"	"CHANNEL TIME:"
		"DOTA_Tooltip_ability_archer_attribute_hrunting_cast_range"	"RANGE:"
		"DOTA_Tooltip_Ability_archer_attribute_hrunting_bp_damage"		"%BROKEN PHANTASM BASE DAMAGE:"
		"DOTA_Tooltip_Ability_archer_attribute_hrunting_mana_used"		"%MANA USED:"
		"DOTA_Tooltip_ability_archer_attribute_hrunting_bounce"	"BOUNCES:"

		"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin"					"<font color='#9FFFCC'>Attribute: Shroud of Martin</font>"
		"DOTA_Tooltip_ability_archer_attribute_shroud_of_martin_Description"		"Enables <font color='#FFB266'>Rho Aias</font> and <font color='#FFB266'>Shroud of Martin</font>.\n<font color='#FFB266'>Rho Aias:</font> Target gains <font color='#FFFF28'>Rho Aias</font> for a short duration. \n<font color='#FFFF28'>Rho Aias</font>: Absorbing certain amount of damage. \n Target is <font color='#FF3399'>rooted</font> until shield is expired. \nThe target can cancel the shield early by right clicking it on buff bar. \n<font color='#FFB266'>Shroud of Martin:</font> Increases Emiya's magic resistance and armor."	
		"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin_Lore"			"The shroud of Saint Martin protects the bearer from witchcraft and sorcery."
		"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin_mr_bonus"		"%BONUS MAGIC RESIST:"
		"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin_armor_bonus"	"BONUS ARMOR:"
		//"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin_hp_bonus"		"BONUS HP PER INT:"
		"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin_rho_amount"		"RHO AIAS SHIELD AMOUNT:"
		"DOTA_Tooltip_Ability_archer_attribute_shroud_of_martin_rho_duration"	"RHO AIAS DURATION:"

		"DOTA_Tooltip_Ability_archer_attribute_overedge"				"<font color='#9FFFCC'>Attribute: Overedge</font>"
		"DOTA_Tooltip_ability_archer_attribute_overedge_Description"	"<font color='#58ACFA'>Kanshou and Byakuya</font>: Increases damage based on his attack while gaining <font color='#FFFF28'>Kanshou Bakuya</font>'s stacks. \n<font color='#FFFF28'>Kanshou Bakuya</font>: Increase attack speed.  \n<font color='#58ACFA'>Crane Wings</font>: Increase damage and throw bonus blades based on <font color='#FFFF28'>Kanshou Bakuya</font>'s stacks."
		"DOTA_Tooltip_Ability_archer_attribute_overedge_bonus_atk"	"%KANSHOU BAKUYA BONUS DAMAGE PER ATK:"
		"DOTA_Tooltip_Ability_archer_attribute_overedge_aspd"		"%KANSHOU BAKUYA BONUS ATTACK SPEED:"
		"DOTA_Tooltip_Ability_archer_attribute_overedge_max_stack"	"KANSHOU BAKUYA MAX STACKS:"
		"DOTA_Tooltip_Ability_archer_attribute_overedge_duration"		"KANSHOU BAKUYA DURATION:"
		"DOTA_Tooltip_Ability_archer_attribute_overedge_bonus_crane"		"CRANE WINGS BONUS DAMAGE:"
		"DOTA_Tooltip_ability_archer_attribute_overedge_Lore"			"Through reinforcement, even the counterfeits may stand equal to its originals."
		"DOTA_Tooltip_ability_archer_attribute_overedge_Note0"			"Additional blades damage is based on Kanshou and Byakuya's stacks."
		//"DOTA_Tooltip_ability_archer_attribute_overedge_Note1"			"The blades can be disjointed."

		"DOTA_Tooltip_Ability_archer_attribute_improve_projection"				"<font color='#9FFFCC'>Attribute: Improve Projection</font>"
		"DOTA_Tooltip_ability_archer_attribute_improve_projection_Description"	"Improves Emiya's projection capability.\n<font color='#FFB266'>Unlimited Blade Works - Auto Blade:</font> Swords passively fly toward enemies, dealing physical damage based on Emiya's <font color='#00F7FF'>INT</font>.\n<font color='#58ACFA'>Sword Barrage - Retreat:</font> <font color='#FF3399'>Roots</font> target hit for %retreat_root% seconds (CD %retreat_cd% seconds) and change its damage type from physical damage to magical damage while reduce its mana cost.\n<font color='#58ACFA'>Sword Barrage - Confine:</font> Reduce %confine_mr%%% magic resistance while reduce its mana cost.\n<font color='#58ACFA'>Gae Bolg:</font> Damage increased by %bonus_gae%.\n<font color='#58ACFA'>Sword Barrage - Bombard:</font> Mana cost increased by 100, increase damage based on <font color='#FF0000'>STR</font> and <font color='#00F7FF'>INT</font>, cooldown reduced to 1 seconds.\n<font color='#58ACFA'>Nine Lives:</font> Stun duration increased to %bonus_nine_live_stun% seconds for the final hit, damage on every hit increased by %bonus_nine_live% and last hit increased by %bonus_nine_live_last%."	
		"DOTA_Tooltip_Ability_archer_attribute_improve_projection_Lore"			"Emiya's projection copies not only the object, but its experience and history as well."
		"DOTA_Tooltip_Ability_archer_attribute_improve_projection_sword_base_damage""AUTOBLADE BASE DAMAGE:"
		"DOTA_Tooltip_Ability_archer_attribute_improve_projection_sword_int_ratio"	"AUTOBLADE BONUS DAMAGE PER INT:"
		"DOTA_Tooltip_Ability_archer_attribute_improve_projection_bonus_agi"	"Bombard BONUS DAMAGE PER STR:"
		"DOTA_Tooltip_Ability_archer_attribute_improve_projection_bonus_int"	"Bombard BONUS DAMAGE PER INT:"







		"npc_dota_hero_spectre"		"Artoria (Alter)"
		"npc_dota_hero_spectre_1"		"[Normal] Casual Artoria (Alter)"
		"npc_dota_hero_spectre_2"		"[Heroic] Armorless Artoria (Alter)"
		"npc_dota_hero_spectre_summon"		"Servant <font color='#58ACFA'>Artoria (Alter)</font> has been summoned."
		"npc_dota_hero_spectre_enable_combo"	"Enable Combo: Max Mana Burst"

		/////////////////////// Innate ////////////////////////////
		
		"DOTA_Tooltip_Ability_saber_alter_mana_shroud"			"<font color='#FFFFFF'>Mana Shroud</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_Description"	"<font color='#58ACFA'>PASSIVE</font>: Artoria gain bonus mana regen. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Mana Shroud</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_Lore"	"No longer bounded by limited supply of mana, her body is infused with magical energy at all times."
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_mana_regen_bonus"	"BONUS MANA REGEN:"

		"DOTA_Tooltip_Ability_saber_alter_mana_shroud_upgrade"			"<font color='#9FFFCC'>Mana Shroud</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_upgrade_Description"	"<font color='#58ACFA'>PASSIVE</font>: Artoria gain bonus mana regen, bonus armor and bonus mana."
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_upgrade_Lore"	"No longer bounded by limited supply of mana, her body is infused with magical energy at all times."
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_upgrade_mana_regen_bonus"	"BONUS MANA REGEN:"
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_upgrade_armor"			"BONUS ARMOR:"
		"DOTA_Tooltip_ability_saber_alter_mana_shroud_upgrade_bonus_mana"		"BONUS MANA:"
		
		"DOTA_Tooltip_Ability_saber_alter_unleashed_ferocity"	"<font color='#FFFFFF'>Unleashed Ferocity</font>"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_Description"	"Artoria's fierce mana starts chain reaction with oxygen to cause periodic explosion, dealing damage to nearby enemies based on their current health and <font color='#FF3399'>ministunning</font> them simultaneously.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Ferocity</font>"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_Lore"	""
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_cast_delay"	"CAST DELAY:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_radius"	"EXPLOSION RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_explosion_count"	"EXPLOSION COUNT:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_damage"	"%DAMAGE CURRENT HP PER EXPLOSION:"

		"DOTA_Tooltip_Ability_saber_alter_unleashed_ferocity_upgrade"	"<font color='#9FFFCC'>Unleashed Ferocity</font>"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_Description"	"Artoria's fierce mana starts chain reaction with oxygen to cause periodic explosion, dealing damage to nearby enemies based on their current health and her <font color='#FF0000'>STR</font> and <font color='#00F7FF'>INT</font> while <font color='#FF3399'>ministunning</font> them simultaneously."
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_Lore"	""
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_cast_delay"	"CAST DELAY:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_radius"	"EXPLOSION RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_explosion_count"	"EXPLOSION COUNT:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_damage"	"%DAMAGE CURRENT HP PER EXPLOSION:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_bonus_str"	"BONUS DAMAGE PER STR:"
		"DOTA_Tooltip_ability_saber_alter_unleashed_ferocity_upgrade_bonus_int"	"BONUS DAMAGE PER INT:"

		/////////////////////// Basic ////////////////////////////////
		
		"DOTA_Tooltip_Ability_saber_alter_derange"			"<font color='#58ACFA'>Derange</font>"
		"DOTA_Tooltip_ability_saber_alter_derange_Description"	"Artoria gains <font color='#FFFF28'>Derange</font> for a duration. \n<font color='#FFFF28'>Derange</font>: Increase Artoria's movespeed, attackspeed and attack damage while her normal attack reduces target's armor. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Mana Blast</font>"
		"DOTA_Tooltip_ability_saber_alter_derange_Lore"	"Succumb to darkness."
		"DOTA_Tooltip_ability_saber_alter_derange_duration"			"DERANGE DURATION:"
		"DOTA_Tooltip_ability_saber_alter_derange_aspd_modifier"	"%BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_saber_alter_derange_mspd_modifier"	"%BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_saber_alter_derange_dmg_modifier"		"%BONUS ATTACK:"
		"DOTA_Tooltip_ability_saber_alter_derange_armor_reduction"	"ARMOR REDUCTION:"

		"DOTA_Tooltip_Ability_saber_alter_derange_upgrade"			"<font color='#9FFFCC'>Derange</font>"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_Description"	"Artoria gains <font color='#FFFF28'>Derange</font> for a duration and <font color='#FFFF28'>Mana Catalysts</font>'s stacks. \n<font color='#FFFF28'>Derange</font>: Increase Artoria's movespeed, attackspeed and attack damage while her normal attack reduces target's armor. \n<font color='#FFFF28'>Mana Catalysts</font>: Increase Artoria's movespeed."
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_Lore"	"Succumb to darkness."
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_duration"	"DERANGE DURATION:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_aspd_modifier"	"%BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_mspd_modifier"	"%BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_dmg_modifier"		"%BONUS ATTACK:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_armor_reduction"	"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_min_charge"	"MIN MANA CATALYST GAIN:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_max_charge"		"MAX MANA CATALYST GAIN:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_maximum_charges"	"MAX MANA CATALYST STACKS:"
		"DOTA_Tooltip_ability_saber_alter_derange_upgrade_bonus_ms"	"BONUS MOVESPEED PER MANA CATALYST:"
		
		"DOTA_Tooltip_Ability_saber_alter_mana_burst"		"<font color='#58ACFA'>Mana Burst</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_Description" "Dealing damage and <font color='#FF3399'>ministunning</font> all nearby enemies.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Mana Shroud and Mana Blast</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_Lore" 	"With such overwhelming amount, even the unrefined, pure prana can be a deadly weapon."
		"DOTA_Tooltip_ability_saber_alter_mana_burst_delay" 	"CAST DELAY:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_damage" 	"DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_radius" 	"RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_stun" 	"STUN DURATION:"

		"DOTA_Tooltip_Ability_saber_alter_mana_burst_upgrade_1"		"<font color='#9FFFCC'>Mana Burst</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_Description" "Dealing damage base on Artoria's <font color='#00F7FF'>INT</font> and <font color='#FF3399'>ministunning</font> all nearby enemies. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Mana Blast</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_Lore" 	"With such overwhelming amount, even the unrefined, pure prana can be a deadly weapon."
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_delay" 	"CAST DELAY:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_damage" 	"DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_radius" 	"RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_stun" 	"STUN DURATION:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_1_bonus_int" 	"BONUS DAMAGE PER INT:"

		"DOTA_Tooltip_Ability_saber_alter_mana_burst_upgrade_2"		"<font color='#9FFFCC'>Mana Burst</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_Description" "Dealing damage based on Artoria's current mana, consumes more mana and <font color='#FF3399'>ministunning</font> all nearby enemies. \n If Artoria has <font color='#FFFF28'>Mana Catalysts</font>'s stacks, fires mana catalysts depend on its stacks to nearest enemy. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Mana Shroud</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_Lore" 	"With such overwhelming amount, even the unrefined, pure prana can be a deadly weapon."
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_delay" 	"CAST DELAY:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_damage" 	"DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_radius" 	"RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_stun" 	"STUN DURATION:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_bonus_mana" 	"%BONUS DAMAGE FROM CURRENT MANA:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_bonus_cost" 	"%EXTRA MANA COST:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_2_derange_dmg" 	"DAMAGE PER MANA CATALYST:"

		"DOTA_Tooltip_Ability_saber_alter_mana_burst_upgrade_3"		"<font color='#9FFFCC'>Mana Burst</font>"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_Description" "Dealing damage based on Artoria's current mana and <font color='#00F7FF'>INT</font> while consuming more mana and <font color='#FF3399'>ministunning</font> all nearby enemies. \n If Artoria has <font color='#FFFF28'>Mana Catalysts</font>'s stacks, fires mana catalysts depend on its stacks to nearest enemy."
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_Lore" 	"With such overwhelming amount, even the unrefined, pure prana can be a deadly weapon."
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_delay" 	"CAST DELAY:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_damage" 	"DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_radius" 	"RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_stun" 	"STUN DURATION:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_bonus_int" 	"BONUS DAMAGE PER INT:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_bonus_mana" 	"%BONUS DAMAGE FROM CURRENT MANA:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_bonus_cost" 	"%EXTRA MANA COST:"
		"DOTA_Tooltip_ability_saber_alter_mana_burst_upgrade_3_derange_dmg" 	"DAMAGE PER MANA CATALYST:"
		
		"DOTA_Tooltip_Ability_saber_alter_vortigern"		"<font color='#58ACFA'>Vortigern</font>"
		"DOTA_Tooltip_ability_saber_alter_vortigern_Description"	"Artoria swings her sword in crescent, from left side to right side, dealing damage and <font color='#FF3399'>stunning</font> all enemies. \n Units at the start of swing take less damage and shorter stun duration, but as sword gets momentum it deals more damage and longer stuns duration.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Ferocity.</font>"
		"DOTA_Tooltip_ability_saber_alter_vortigern_Lore"	"Having forgotten her noble ideal, the executioner ruthlessly cuts through the flesh of tainted Holy Grail's enemies."
		"DOTA_Tooltip_ability_saber_alter_vortigern_radius"	"SWORD RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_damage"	"BASE DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_low_end"	"%MIN DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_high_end"	"%MAX DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_stun_duration"	"BASE STUN DURATION:"

		"DOTA_Tooltip_Ability_saber_alter_vortigern_upgrade"		"<font color='#9FFFCC'>Vortigern</font>"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_Description"	"<font color='#58ACFA'>PASSIVE</font>: Artoria gains <font color='#FFFF28'>Ferocity</font>'s stack every certain times. \n<font color='#58ACFA'>ACTIVE</font>: Artoria swings her sword in crescent, from left side to right side, dealing damage and <font color='#FF3399'>stunning</font> all enemies. \n Units at the start of swing take less damage and shorter stun duration, but as sword gets momentum it deals more damage and longer stuns duration. \n<font color='#FFFF28'>Ferocity</font>: consume 1 stack to refresh <font color='#58ACFA'>Vortigern</font>'s cooldown."
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_Lore"	"Having forgotten her noble ideal, the executioner ruthlessly cuts through the flesh of tainted Holy Grail's enemies."
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_radius"	"SWORD RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_damage"	"BASE DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_low_end"	"%MIN DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_high_end"	"%MAX DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_stun_duration"	"BASE STUN DURATION:"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_recharge_time"	"FEROCITY RECHARGE TIME:"
