
	//====================================
		//	Apocrypha - Raging Cat
		//====================================
		"npc_dota_hero_ursa"		"Atalanta Alter"
        "DOTA_Tooltip_ability_muramasa_pride_Description"		"<font color='#58ACFA'>Unsheathe</font>:  Levelled up, gaining extra armor,move speed, duration. Also grants extra damage for <font color='#58ACFA'>Tengu Kiri</font> and <font color='#58ACFA'>Kesi Giri</font>."
        "DOTA_Tooltip_ability_muramasa_pride_bonus_damage_q"			"BONUS TENGU KIRI DAMAGE:"
        "DOTA_Tooltip_ability_muramasa_pride_bonus_damage_e"			"BONUS KESI GIRI DAMAGE:"

        ////////////////// MODIFIERS ///////////////////

		"DOTA_Tooltip_modifier_muramasa_chant"													"Tsumukari Muramasa - Chant"

		"DOTA_Tooltip_modifier_muramasa_marble"													"Tsumukari Muramasa"

		"DOTA_Tooltip_modifier_muramasa_unsheathe"														"Unsheathe"
		"DOTA_Tooltip_modifier_muramasa_unsheathe_Description"									"Gaining bonus movement speed and armor"

		"DOTA_Tooltip_modifier_muramasa_r_slow"														"Tsumukari Muramasa Slow"
		"DOTA_Tooltip_modifier_muramasa_r_slow_Description"											"Slowed"

		"DOTA_Tooltip_modifier_muramasa_combo"														"Tsumukari Muramasa - Baseless Blade Works"

		"DOTA_Tooltip_modifier_muramasa_combo_cooldown"												"Tsumukari Muramasa - Baseless Blade Works Cooldown"
